sex,country,year,age,generation,suicides_no,population,suicides/100k pop,Suma - HDI for year,Suma -  gdp_for_year ($) ,Suma - gdp_per_capita ($)
male,Albania,2012,55-74 years,,,,,,,
male,Albania,2012,75+ years,,,,,,,
male,Albania,2013,15-24 years,,,,,,,
male,Albania,2013,25-34 years,,,,,,,
male,Albania,2013,35-54 years,,,,,,,
male,Albania,2013,5-14 years,,,,,,,
male,Albania,2013,55-74 years,,,,,,,
male,Albania,2013,75+ years,,,,,,,
male,Albania,2014,15-24 years,,,,,,,
male,Albania,2014,25-34 years,,,,,,,
male,Albania,2014,35-54 years,,,,,,,
male,Albania,2014,5-14 years,,,,,,,
male,Albania,2014,55-74 years,,,,,,,
male,Albania,2014,75+ years,,,,,,,
male,Albania,2015,15-24 years,,,,,,,
male,Albania,2015,25-34 years,,,,,,,
male,Albania,2015,35-54 years,,,,,,,
male,Albania,2015,5-14 years,,,,,,,
male,Albania,2015,55-74 years,,,,,,,
male,Albania,2015,75+ years,,,,,,,
male,Albania,2016,15-24 years,,,,,,,
male,Albania,2016,25-34 years,,,,,,,
male,Albania,2016,35-54 years,,,,,,,
male,Albania,2016,5-14 years,,,,,,,
male,Albania,2016,55-74 years,,,,,,,
male,Albania,2016,75+ years,,,,,,,
male,Antigua and Barbuda,1985,15-24 years,3,0,7667,0,,240923926,3850
male,Antigua and Barbuda,1985,25-34 years,1,0,6194,0,,240923926,3850
male,Antigua and Barbuda,1985,35-54 years,6,0,5970,0,,240923926,3850
male,Antigua and Barbuda,1985,5-14 years,3,0,7304,0,,240923926,3850
male,Antigua and Barbuda,1985,55-74 years,2,0,2723,0,,240923926,3850
male,Antigua and Barbuda,1985,75+ years,2,0,424,0,,240923926,3850
male,Antigua and Barbuda,1986,15-24 years,3,0,7563,0,,290440148,4740
male,Antigua and Barbuda,1986,25-34 years,1,0,6023,0,,290440148,4740
male,Antigua and Barbuda,1986,35-54 years,6,0,5947,0,,290440148,4740
male,Antigua and Barbuda,1986,5-14 years,3,0,6827,0,,290440148,4740
male,Antigua and Barbuda,1986,55-74 years,2,0,2771,0,,290440148,4740
male,Antigua and Barbuda,1986,75+ years,2,0,476,0,,290440148,4740
male,Antigua and Barbuda,1987,15-24 years,3,0,7421,0,,337174852,5595
male,Antigua and Barbuda,1987,25-34 years,1,0,5893,0,,337174852,5595
male,Antigua and Barbuda,1987,35-54 years,6,0,5927,0,,337174852,5595
male,Antigua and Barbuda,1987,5-14 years,3,0,6499,0,,337174852,5595
male,Antigua and Barbuda,1987,55-74 years,2,0,2798,0,,337174852,5595
male,Antigua and Barbuda,1987,75+ years,2,0,538,0,,337174852,5595
male,Antigua and Barbuda,1988,15-24 years,3,0,7209,0,,398637741,6693
male,Antigua and Barbuda,1988,25-34 years,1,0,5826,0,,398637741,6693
male,Antigua and Barbuda,1988,35-54 years,6,0,5907,0,,398637741,6693
male,Antigua and Barbuda,1988,5-14 years,3,0,6355,0,,398637741,6693
male,Antigua and Barbuda,1988,55-74 years,2,0,2813,0,,398637741,6693
male,Antigua and Barbuda,1988,75+ years,2,0,603,0,,398637741,6693
male,Antigua and Barbuda,1989,15-24 years,3,0,6927,0,,438794778,7407
male,Antigua and Barbuda,1989,25-34 years,1,0,5835,0,,438794778,7407
male,Antigua and Barbuda,1989,35-54 years,6,0,5862,0,,438794778,7407
male,Antigua and Barbuda,1989,5-14 years,3,0,6403,0,,438794778,7407
male,Antigua and Barbuda,1989,55-74 years,2,0,2843,0,,438794778,7407
male,Antigua and Barbuda,1989,75+ years,2,0,676,0,,438794778,7407
male,Antigua and Barbuda,1990,15-24 years,3,0,6598,0,,459469074,7744
male,Antigua and Barbuda,1990,25-34 years,1,0,5937,0,,459469074,7744
male,Antigua and Barbuda,1990,35-54 years,6,1,5799,"17,24",,459469074,7744
male,Antigua and Barbuda,1990,5-14 years,3,0,6611,0,,459469074,7744
male,Antigua and Barbuda,1990,55-74 years,2,0,2902,0,,459469074,7744
male,Antigua and Barbuda,1990,75+ years,2,0,758,0,,459469074,7744
male,Antigua and Barbuda,1991,15-24 years,3,0,6401,0,,481706333,7976
male,Antigua and Barbuda,1991,25-34 years,1,0,6156,0,,481706333,7976
male,Antigua and Barbuda,1991,35-54 years,1,0,6122,0,,481706333,7976
male,Antigua and Barbuda,1991,5-14 years,5,0,6818,0,,481706333,7976
male,Antigua and Barbuda,1991,55-74 years,6,0,2857,0,,481706333,7976
male,Antigua and Barbuda,1991,75+ years,2,0,804,0,,481706333,7976
male,Antigua and Barbuda,1992,15-24 years,3,0,6221,0,,499281148,8087
male,Antigua and Barbuda,1992,25-34 years,1,0,6409,0,,499281148,8087
